Temperature [_ C],Humidity [%],Soil moisture,Nitrogen [mg/kg],Phosphorus [mg/kg],Potassium,pH,Health_Label
25.25,63.28,134.4,95,95,139,2.91,Non-Healthy
18.36,69.82,241.55,77,93,59,2.89,Non-Healthy
20.9,76.5,232.94,119,44,122,6.32,Healthy
23.95,88.61,683.14,86,95,135,3.16,Non-Healthy
23.24,75.84,295.4,113,62,55,4.38,Healthy
24.49,94.0,606.77,110,94,125,6.26,Non-Healthy
21.89,78.96,364.04,73,90,89,5.62,Healthy
26.21,60.87,620.04,90,64,59,5.85,Healthy
30.09,74.54,504.42,79,43,102,6.32,Healthy
19.65,84.11,124.11,80,106,60,5.35,Non-Healthy
25.24,68.2,184.73,106,72,75,3.87,Non-Healthy
19.85,84.45,138.18,72,103,89,5.03,Healthy
28.04,77.63,172.46,109,60,50,4.43,Healthy
23.54,60.9,247.78,104,53,79,4.77,Healthy
25.92,87.1,575.64,101,76,52,5.68,Healthy
20.57,79.61,545.53,111,60,53,5.14,Healthy
20.03,62.89,261.93,70,97,60,3.3,Healthy
24.83,76.63,346.45,105,74,102,4.94,Healthy
22.98,70.06,618.5,114,43,99,5.53,Healthy
31.17,90.79,161.95,105,100,90,3.77,Non-Healthy
28.71,69.97,447.59,80,93,102,3.42,Healthy
28.48,92.96,186.72,87,97,109,6.71,Non-Healthy
30.65,79.11,696.55,83,41,124,2.9,Non-Healthy
19.17,71.33,376.15,94,81,99,4.0,Healthy
25.73,88.47,650.86,94,59,133,4.38,Non-Healthy
26.18,84.41,208.73,77,87,85,6.3,Healthy
31.47,74.49,694.38,98,102,110,6.6,Non-Healthy
22.09,82.04,154.4,88,83,98,4.75,Non-Healthy
21.37,87.25,154.17,60,97,129,4.85,Non-Healthy
19.4,89.8,597.48,118,51,76,2.24,Healthy
18.23,88.57,570.42,117,85,85,3.66,Non-Healthy
31.01,65.81,263.8,104,60,107,3.99,Healthy
27.38,88.99,263.17,111,69,61,4.91,Non-Healthy
28.99,62.05,394.14,99,82,110,5.56,Healthy
21.94,67.01,667.29,75,90,110,5.86,Healthy
26.21,81.8,483.01,95,51,132,3.18,Healthy
18.9,64.01,602.87,71,58,81,2.61,Healthy
24.8,81.12,622.92,82,58,78,3.83,Healthy
31.68,70.78,197.98,116,59,48,5.44,Non-Healthy
30.27,75.03,455.71,73,104,124,6.91,Healthy
22.73,71.03,692.43,101,50,56,4.2,Healthy
31.46,62.46,175.47,97,55,40,3.59,Non-Healthy
21.24,77.53,377.26,115,75,79,4.87,Healthy
31.29,93.73,563.61,68,59,109,5.99,Healthy
31.18,81.41,693.95,61,62,126,2.77,Non-Healthy
29.19,70.5,189.44,99,103,118,2.58,Non-Healthy
26.83,93.47,354.57,98,53,78,5.6,Healthy
30.24,73.62,556.72,85,52,52,4.27,Healthy
22.1,84.41,464.57,92,107,119,4.82,Healthy
29.89,82.19,629.62,77,41,100,5.39,Non-Healthy
26.65,93.35,179.25,81,108,87,3.04,Non-Healthy
18.19,92.01,434.66,104,40,126,2.7,Healthy
22.86,65.18,473.33,62,58,43,4.87,Healthy
20.07,63.0,592.27,72,68,94,6.18,Healthy
31.75,88.34,610.46,96,68,103,3.46,Non-Healthy
24.7,91.67,395.02,72,56,58,5.23,Healthy
24.96,77.25,470.51,60,46,81,3.29,Healthy
26.95,84.18,124.55,63,83,51,6.24,Healthy
23.16,62.44,519.64,96,76,50,5.6,Healthy
19.92,67.69,128.96,113,48,57,6.27,Healthy
29.51,65.23,495.31,118,48,118,5.37,Healthy
20.66,81.04,413.42,117,85,97,2.33,Healthy
25.16,66.91,673.35,61,90,123,4.82,Non-Healthy
21.14,62.09,214.58,100,84,132,5.54,Healthy
19.37,70.58,342.59,67,76,128,2.85,Healthy
30.07,83.7,617.23,68,67,98,3.77,Non-Healthy
31.62,80.23,418.18,88,65,125,5.71,Healthy
31.45,71.58,592.48,96,108,42,5.0,Non-Healthy
30.69,89.17,414.31,93,96,84,2.8,Non-Healthy
28.84,69.67,515.79,65,69,47,6.17,Healthy
22.66,69.12,631.29,89,70,109,3.84,Non-Healthy
19.14,79.6,151.79,66,77,112,2.34,Healthy
23.7,76.74,630.9,89,105,95,2.37,Non-Healthy
21.25,75.61,223.8,81,78,85,4.84,Non-Healthy
19.85,65.45,558.07,100,54,138,5.47,Healthy
18.75,77.66,448.18,74,78,52,2.18,Healthy
28.16,69.07,313.09,114,53,70,3.44,Healthy
18.16,73.73,675.94,94,77,106,2.59,Non-Healthy
28.79,85.67,608.03,104,79,122,6.34,Non-Healthy
20.06,92.79,285.62,107,51,57,3.81,Healthy
19.11,87.09,237.56,92,73,96,5.09,Non-Healthy
19.25,74.2,328.21,87,99,111,3.33,Healthy
27.41,80.76,312.63,72,100,75,6.3,Healthy
21.44,86.13,212.66,91,87,52,6.37,Non-Healthy
23.89,74.5,663.7,75,79,82,3.68,Non-Healthy
25.8,72.61,634.82,71,63,102,5.5,Non-Healthy
30.05,64.73,627.41,119,40,60,5.42,Non-Healthy
28.18,85.77,384.31,104,42,41,4.88,Healthy
21.78,89.35,577.97,109,83,47,6.15,Healthy
19.84,71.08,329.01,109,46,94,4.94,Healthy
18.78,87.42,619.15,92,52,119,3.3,Non-Healthy
22.22,81.36,645.74,61,95,69,2.82,Non-Healthy
21.67,87.44,432.21,74,87,108,5.5,Healthy
24.39,74.4,396.19,101,107,52,6.5,Healthy
27.57,86.17,428.97,93,66,111,4.59,Non-Healthy
27.74,74.3,258.11,87,87,111,6.59,Healthy
21.97,63.11,173.28,119,102,91,4.52,Non-Healthy
23.32,79.27,344.41,81,56,52,6.4,Healthy
20.54,75.9,574.76,119,52,108,2.81,Healthy
29.04,68.85,515.42,93,96,50,4.14,Non-Healthy
18.8,91.22,607.71,102,84,103,2.75,Non-Healthy
27.76,73.4,381.85,102,56,99,3.31,Healthy
28.9,61.37,192.08,97,98,135,2.78,Non-Healthy
28.88,73.37,423.12,61,72,53,2.19,Healthy
21.63,74.86,142.9,79,97,128,2.23,Non-Healthy
23.23,90.16,369.9,71,106,127,6.77,Healthy
26.23,87.97,236.82,64,47,84,3.59,Non-Healthy
21.82,67.0,609.66,69,80,50,3.35,Non-Healthy
23.19,89.37,194.78,87,96,125,3.98,Non-Healthy
20.76,68.68,395.29,75,74,46,2.85,Healthy
24.44,71.97,343.38,61,46,124,3.25,Healthy
18.62,62.69,610.32,95,87,84,6.29,Healthy
29.2,61.94,445.74,60,96,44,5.59,Healthy
19.08,83.83,395.47,76,47,135,3.53,Healthy
25.26,92.32,465.79,68,86,135,3.1,Non-Healthy
22.3,77.26,254.64,77,91,132,5.01,Healthy
26.09,89.54,422.4,98,57,56,3.46,Healthy
31.43,87.78,323.02,80,56,105,4.16,Non-Healthy
27.04,83.26,183.17,119,72,136,3.29,Non-Healthy
18.5,94.24,579.07,110,62,106,4.17,Non-Healthy
24.03,88.08,329.26,60,61,69,4.09,Non-Healthy
25.14,69.62,281.77,83,85,114,2.84,Healthy
25.51,87.62,120.33,105,58,64,3.9,Non-Healthy
27.54,84.24,142.04,77,56,48,3.01,Healthy
21.89,73.98,266.07,109,81,87,6.51,Healthy
19.8,62.69,311.13,68,103,134,6.75,Healthy
23.5,67.5,525.49,69,108,65,3.55,Healthy
31.39,87.9,333.7,87,103,49,3.42,Non-Healthy
20.62,68.7,581.98,69,78,112,6.41,Healthy
30.66,94.93,460.56,110,50,107,5.17,Non-Healthy
25.61,84.29,323.33,110,47,82,6.31,Healthy
24.4,76.7,211.29,98,70,53,3.11,Non-Healthy
30.35,79.97,120.79,91,92,71,2.52,Non-Healthy
24.42,81.38,342.21,67,90,86,3.23,Healthy
28.14,93.91,355.9,70,106,61,3.14,Non-Healthy
23.59,65.66,331.06,105,52,40,5.7,Healthy
30.66,69.53,585.39,66,69,107,2.99,Non-Healthy
27.66,84.84,175.42,66,99,98,4.76,Non-Healthy
27.79,68.4,186.64,119,59,110,5.95,Healthy
22.59,90.5,255.41,97,64,116,6.99,Healthy
28.59,72.13,417.96,111,101,128,4.8,Non-Healthy
26.9,66.33,541.02,78,60,93,5.11,Healthy
21.36,61.67,644.12,103,100,55,4.7,Non-Healthy
20.25,80.85,274.92,105,96,44,5.52,Healthy
29.15,88.88,194.12,109,81,96,6.97,Non-Healthy
31.43,69.58,415.34,91,73,49,3.94,Non-Healthy
24.41,92.11,293.76,85,70,69,5.08,Non-Healthy
26.27,86.52,691.01,108,51,69,5.41,Non-Healthy
30.01,62.15,143.11,97,65,66,4.96,Non-Healthy
24.4,80.04,230.72,74,62,44,5.44,Non-Healthy
31.33,79.86,557.06,97,93,67,4.98,Non-Healthy
26.06,67.08,344.1,108,100,69,4.02,Healthy
29.49,71.71,446.1,84,97,56,4.83,Non-Healthy
30.72,76.04,592.96,63,40,54,5.82,Healthy
29.42,61.68,506.78,102,109,44,4.72,Non-Healthy
20.23,65.24,470.06,103,77,113,2.94,Healthy
26.8,65.74,515.46,118,80,118,3.04,Non-Healthy
23.58,73.27,157.26,90,82,51,3.87,Non-Healthy
18.88,86.16,176.72,68,94,63,6.47,Non-Healthy
23.94,89.1,472.38,76,42,128,5.39,Healthy
21.62,65.7,333.35,81,80,61,2.29,Healthy
29.89,86.32,697.51,66,108,105,6.25,Non-Healthy
18.47,83.47,595.98,64,97,72,3.95,Healthy
31.43,91.17,657.36,90,81,116,4.41,Non-Healthy
22.98,93.91,224.67,83,94,40,2.15,Non-Healthy
22.99,64.36,482.34,109,76,135,2.03,Healthy
18.23,62.82,136.17,114,68,76,6.27,Healthy
20.59,87.99,546.38,117,92,67,6.39,Healthy
23.62,65.68,144.49,61,49,44,3.64,Healthy
31.01,66.81,510.97,110,43,100,5.93,Healthy
19.39,90.87,243.17,100,78,94,5.35,Non-Healthy
31.23,92.86,462.89,67,56,78,6.98,Healthy
30.17,71.15,280.07,69,56,90,3.45,Healthy
24.36,89.48,132.99,99,71,74,6.34,Non-Healthy
22.57,90.06,517.61,110,97,107,4.97,Non-Healthy
21.26,81.19,380.22,105,83,123,3.88,Healthy
26.6,79.81,540.05,68,83,93,6.56,Healthy
18.46,80.15,152.65,88,41,101,5.42,Healthy
18.22,70.55,427.52,76,89,123,3.19,Non-Healthy
24.0,81.66,151.47,80,109,44,3.33,Non-Healthy
18.95,68.53,203.43,64,89,129,2.26,Non-Healthy
21.53,66.22,574.96,95,99,125,6.52,Healthy
21.1,74.45,252.63,119,45,139,5.78,Healthy
21.54,84.7,174.13,118,42,76,2.5,Healthy
19.83,81.75,202.25,100,42,133,4.78,Healthy
18.17,93.77,202.03,101,57,58,4.71,Non-Healthy
19.62,82.63,609.42,75,71,41,4.13,Non-Healthy
26.66,64.95,462.17,106,48,99,5.44,Healthy
31.64,65.64,579.56,95,78,66,5.5,Healthy
31.86,63.26,269.19,93,41,69,4.91,Healthy
23.73,66.69,483.28,72,100,64,2.86,Healthy
20.28,80.93,641.37,74,63,94,3.38,Non-Healthy
26.94,89.34,429.69,110,55,106,4.11,Healthy
24.86,91.29,625.03,94,92,89,3.61,Non-Healthy
31.85,74.0,246.47,63,99,131,5.92,Non-Healthy
18.91,79.55,680.82,65,83,90,3.56,Non-Healthy
28.97,88.32,166.22,91,77,133,4.62,Non-Healthy
22.04,70.92,561.44,83,109,115,3.64,Healthy
21.38,80.85,237.0,110,88,94,4.32,Non-Healthy
27.28,66.09,187.79,100,72,40,2.68,Non-Healthy
21.44,76.68,444.24,72,50,112,2.03,Healthy
27.32,66.06,303.87,60,91,131,2.04,Healthy
25.24,76.18,249.06,86,86,48,3.6,Non-Healthy
23.94,73.89,374.69,83,74,78,5.91,Healthy
25.77,75.16,693.28,74,104,92,6.9,Healthy
22.02,68.53,486.95,85,54,120,6.21,Healthy
27.89,64.76,281.59,75,68,53,4.9,Healthy
23.81,69.65,691.82,68,68,96,4.39,Non-Healthy
23.05,68.39,281.92,87,103,75,5.71,Healthy
29.6,85.7,537.4,95,67,67,2.47,Non-Healthy
30.95,85.09,272.73,83,65,63,4.04,Non-Healthy
18.64,80.46,569.1,71,92,87,5.55,Healthy
21.26,63.2,493.51,103,89,55,5.51,Healthy
22.88,79.82,452.17,65,40,90,5.04,Healthy
29.41,62.77,386.16,62,83,101,3.39,Non-Healthy
31.8,60.64,260.85,112,63,48,5.68,Healthy
31.57,72.34,473.47,77,64,121,6.7,Healthy
30.67,68.42,627.12,96,42,120,3.46,Healthy
22.15,80.81,138.16,99,93,64,2.08,Non-Healthy
31.89,92.5,544.95,67,53,95,4.07,Healthy
21.49,85.19,630.36,93,100,54,3.06,Non-Healthy
19.48,86.86,477.79,91,43,120,2.01,Healthy
31.31,93.28,269.89,88,79,112,6.77,Non-Healthy
21.27,82.19,323.86,71,47,99,3.05,Healthy
27.66,80.22,554.31,119,86,127,5.76,Healthy
18.82,81.07,332.76,115,62,61,2.57,Healthy
28.23,90.3,124.68,103,44,114,3.12,Non-Healthy
30.34,73.58,181.2,112,74,73,5.86,Non-Healthy
21.81,87.84,285.5,88,103,96,6.4,Healthy
23.31,82.83,348.04,87,47,136,6.18,Healthy
23.24,70.66,331.31,83,91,77,3.26,Healthy
28.48,60.48,587.73,92,62,119,3.23,Non-Healthy
21.33,67.35,248.52,107,89,89,3.56,Non-Healthy
20.41,84.5,357.98,80,75,116,5.0,Healthy
24.29,80.29,592.25,95,108,90,3.05,Healthy
22.26,69.61,580.19,118,108,121,4.92,Healthy
29.75,75.2,239.03,92,65,115,4.84,Non-Healthy
21.33,83.14,331.16,63,108,76,3.2,Healthy
25.03,64.45,210.66,72,49,96,5.25,Healthy
31.2,75.13,172.26,115,69,66,5.38,Non-Healthy
26.88,74.58,441.43,93,75,130,5.94,Healthy
30.14,78.99,305.31,98,94,81,2.98,Non-Healthy
31.16,78.27,417.94,99,67,62,4.86,Non-Healthy
28.51,72.87,460.99,119,41,110,3.08,Healthy
27.79,86.7,471.59,88,62,60,4.61,Non-Healthy
31.55,62.35,665.64,111,102,98,7.0,Non-Healthy
31.92,61.24,256.1,77,96,51,5.72,Healthy
24.33,74.71,640.89,85,73,80,5.28,Non-Healthy
18.99,91.38,149.76,118,57,105,3.82,Non-Healthy
22.1,69.71,137.62,86,78,102,4.88,Non-Healthy
20.13,66.03,183.09,87,100,65,2.17,Non-Healthy
23.84,92.49,493.34,62,93,112,6.2,Healthy
19.84,65.89,427.57,118,69,108,5.53,Healthy
26.46,73.12,214.03,79,103,98,2.86,Non-Healthy
23.36,85.52,205.78,92,83,45,6.82,Non-Healthy
30.54,69.13,427.07,85,109,106,4.6,Non-Healthy
31.55,68.04,676.22,87,90,92,5.97,Non-Healthy
25.66,73.92,225.98,72,81,127,4.68,Non-Healthy
21.85,87.56,270.3,107,84,116,4.04,Non-Healthy
26.29,91.88,189.94,103,94,98,5.02,Non-Healthy
30.55,61.1,464.87,64,100,124,3.14,Non-Healthy
23.69,65.78,657.53,65,44,96,3.9,Healthy
25.73,93.55,258.05,114,66,101,5.26,Non-Healthy
21.8,80.75,394.0,110,69,80,6.69,Healthy
24.38,79.3,646.42,80,75,102,2.88,Non-Healthy
23.62,88.47,530.8,87,108,115,3.69,Healthy
21.48,61.39,426.41,63,70,63,5.02,Healthy
25.08,60.48,490.8,60,101,40,3.45,Healthy
22.35,93.86,543.89,94,88,130,6.9,Healthy
23.22,89.0,542.52,106,100,129,3.01,Non-Healthy
25.35,86.16,401.29,109,54,76,6.54,Healthy
28.51,65.45,283.26,69,49,86,4.66,Healthy
22.67,76.68,239.58,95,60,97,4.92,Healthy
30.94,92.81,652.8,97,55,69,5.98,Non-Healthy
30.07,92.68,153.78,61,106,61,2.25,Non-Healthy
18.68,60.32,315.5,105,59,50,4.97,Healthy
21.55,86.34,520.23,93,62,120,2.48,Non-Healthy
24.25,60.22,468.04,86,40,129,5.14,Healthy
19.46,94.45,371.27,72,108,41,6.31,Healthy
22.88,74.59,180.46,84,77,91,5.77,Healthy
28.36,94.07,200.93,83,97,82,3.08,Non-Healthy
27.53,72.87,523.98,93,62,49,2.95,Healthy
26.71,70.26,400.54,90,97,110,3.23,Healthy
27.95,71.07,316.94,68,83,93,2.29,Healthy
20.87,85.57,337.38,99,100,110,3.29,Non-Healthy
22.78,66.99,368.64,91,75,51,3.75,Healthy
27.47,90.24,516.17,64,67,105,2.61,Non-Healthy
30.31,80.67,468.55,103,60,111,5.78,Healthy
25.61,93.95,160.88,74,83,124,2.94,Non-Healthy
21.96,94.55,211.34,119,81,139,2.12,Non-Healthy
18.42,66.48,160.92,71,101,79,5.13,Non-Healthy
27.94,93.45,140.06,89,94,42,3.36,Non-Healthy
18.11,61.63,570.08,89,94,75,7.0,Healthy
23.22,60.98,613.56,77,60,41,4.75,Healthy
25.43,93.04,361.38,101,42,51,5.43,Healthy
30.91,93.68,681.93,64,63,56,4.04,Non-Healthy
19.25,65.15,620.89,62,74,134,2.28,Non-Healthy
23.68,75.48,619.02,72,98,87,2.15,Non-Healthy
18.34,77.29,332.97,66,40,56,4.62,Healthy
22.8,90.11,673.52,73,51,122,6.45,Healthy
26.71,81.98,554.38,111,40,115,4.79,Healthy
21.91,87.11,325.14,106,105,99,5.75,Healthy
20.94,76.98,635.52,74,47,129,4.33,Healthy
19.62,82.69,122.39,67,97,64,3.76,Non-Healthy
26.08,85.74,451.52,105,99,102,3.8,Non-Healthy
27.73,85.83,421.7,111,60,65,4.88,Healthy
27.41,60.06,167.44,82,99,130,2.03,Non-Healthy
31.28,63.5,620.17,100,98,57,5.64,Non-Healthy
18.04,72.73,283.39,103,88,81,4.88,Healthy
27.06,62.14,338.28,66,76,126,6.05,Healthy
26.41,73.4,395.59,66,97,54,2.75,Healthy
26.24,73.63,593.82,62,72,108,3.19,Healthy
31.48,92.21,465.06,115,83,59,5.66,Non-Healthy
18.24,79.85,447.1,76,93,115,2.95,Healthy
27.75,84.72,330.18,84,109,135,2.77,Healthy
29.39,91.05,282.22,62,61,45,4.99,Non-Healthy
25.14,75.47,397.31,83,46,88,5.26,Healthy
22.68,60.07,268.33,91,62,107,5.84,Healthy
29.07,69.99,316.92,102,53,137,6.36,Healthy
19.36,88.5,375.42,70,108,70,2.01,Non-Healthy
24.19,91.56,609.23,113,79,42,3.41,Non-Healthy
25.28,72.3,659.7,65,84,95,2.06,Non-Healthy
27.72,70.29,601.25,90,60,94,5.67,Healthy
19.27,92.36,424.91,69,109,95,4.18,Non-Healthy
21.19,72.29,532.7,110,51,64,6.37,Healthy
23.74,82.83,314.42,114,45,54,6.64,Healthy
26.73,69.81,386.33,105,73,41,4.46,Healthy
30.42,63.43,665.48,70,81,94,5.23,Non-Healthy
26.66,77.54,325.87,104,78,92,4.5,Healthy
19.87,92.31,220.33,108,62,60,3.09,Non-Healthy
31.73,81.65,393.81,86,44,61,3.57,Healthy
30.21,67.31,498.5,61,77,111,4.5,Non-Healthy
25.04,83.89,193.38,94,103,62,6.83,Healthy
30.91,86.89,190.82,100,46,129,3.95,Non-Healthy
25.58,71.23,296.14,62,69,44,4.23,Healthy
30.93,79.57,646.44,111,71,120,5.65,Non-Healthy
29.62,83.87,511.27,60,76,79,6.43,Healthy
31.56,65.61,248.72,79,99,62,6.78,Non-Healthy
30.88,93.74,470.02,103,75,84,4.96,Non-Healthy
18.5,75.79,502.94,100,86,80,4.49,Healthy
20.45,94.29,423.37,61,93,105,3.95,Non-Healthy
23.45,66.64,560.44,106,40,112,3.03,Healthy
31.33,76.93,134.35,69,65,82,5.68,Non-Healthy
22.2,65.8,230.85,79,75,48,4.44,Non-Healthy
20.25,60.36,680.5,104,106,95,6.99,Healthy
30.41,68.33,408.69,66,108,111,5.1,Non-Healthy
24.25,74.11,164.38,112,82,103,4.97,Non-Healthy
30.71,75.09,298.74,70,61,68,2.68,Non-Healthy
20.24,91.03,121.03,93,55,44,5.8,Healthy
27.26,82.25,456.06,82,55,124,4.27,Healthy
24.16,75.21,699.7,92,50,139,2.07,Healthy
19.07,94.58,462.26,72,92,94,2.77,Non-Healthy
27.75,81.5,473.84,62,89,111,6.5,Healthy
21.46,71.29,310.08,67,67,81,2.19,Healthy
18.55,84.2,257.48,67,89,117,3.25,Healthy
18.84,77.35,414.73,68,80,101,4.93,Healthy
18.86,90.84,641.88,111,64,96,3.31,Non-Healthy
30.71,91.38,125.66,63,78,59,3.58,Non-Healthy
28.36,72.86,450.4,109,65,72,3.01,Healthy
30.57,79.68,368.54,60,74,113,3.97,Non-Healthy
27.42,69.3,480.28,78,47,134,4.27,Healthy
25.41,81.93,607.18,76,58,77,2.53,Healthy
22.26,94.73,380.45,78,48,117,6.53,Healthy
31.97,89.14,246.26,60,81,134,3.88,Non-Healthy
23.07,72.82,338.43,87,102,105,3.97,Healthy
24.59,63.34,207.32,80,103,116,6.8,Healthy
23.3,93.83,169.24,118,51,44,6.57,Healthy
31.71,73.64,338.01,70,71,129,6.6,Healthy
20.45,70.27,482.91,105,46,67,6.7,Healthy
22.59,71.07,272.44,112,80,49,3.36,Healthy
27.52,77.15,651.1,63,91,112,5.86,Healthy
18.88,93.49,519.59,97,58,101,6.74,Healthy
26.5,94.53,518.06,79,89,139,3.71,Non-Healthy
24.69,70.36,521.19,79,99,64,4.86,Healthy
21.98,72.3,120.98,78,89,137,6.25,Healthy
21.34,77.91,591.54,108,94,49,4.92,Healthy
25.2,60.29,652.21,65,49,108,5.84,Healthy
23.15,66.12,131.25,110,83,57,6.44,Healthy
24.39,92.76,467.01,62,107,106,4.31,Non-Healthy
22.72,61.03,512.41,81,97,61,4.55,Healthy
31.59,63.53,233.82,99,96,51,2.33,Non-Healthy
19.87,74.72,606.16,94,43,138,4.9,Healthy
19.36,85.6,482.98,102,106,68,3.68,Non-Healthy
22.81,69.41,250.53,85,41,133,3.81,Healthy
26.27,70.71,680.97,94,100,139,3.83,Non-Healthy
27.23,70.69,245.2,87,71,60,6.41,Healthy
23.56,90.54,513.58,100,103,107,3.62,Non-Healthy
31.99,67.91,394.86,98,95,103,5.47,Non-Healthy
22.93,79.68,539.51,85,75,70,2.59,Healthy
28.1,95.0,176.7,103,83,68,2.22,Non-Healthy
26.93,85.5,672.48,73,45,130,4.44,Healthy
29.38,71.77,238.6,106,78,124,4.04,Non-Healthy
31.67,86.79,247.82,91,41,75,6.72,Non-Healthy
30.46,93.39,441.34,109,80,90,3.13,Non-Healthy
28.7,73.07,322.85,71,73,86,6.34,Healthy
27.78,84.78,376.44,111,85,123,5.8,Healthy
22.7,62.65,141.52,73,90,69,2.43,Non-Healthy
20.07,91.34,256.23,99,57,138,5.14,Healthy
18.88,63.37,568.65,62,66,134,5.05,Healthy
21.39,73.05,643.28,63,64,88,4.85,Non-Healthy
24.05,78.99,255.42,88,90,68,2.38,Healthy
25.31,69.23,568.54,85,100,119,6.44,Healthy
28.82,82.72,136.79,66,48,76,5.66,Healthy
31.42,79.41,145.94,65,89,50,4.93,Non-Healthy
19.64,85.1,347.95,73,68,109,2.73,Non-Healthy
19.5,72.39,205.79,110,85,59,3.31,Non-Healthy
26.26,79.11,216.36,92,78,42,6.27,Healthy
28.44,88.43,483.89,111,56,110,4.23,Healthy
29.87,88.37,617.74,103,55,104,2.97,Non-Healthy
31.1,85.0,571.8,81,83,97,3.85,Non-Healthy
31.77,78.97,315.17,78,77,70,2.47,Non-Healthy
23.6,83.56,627.63,88,90,44,6.39,Healthy
23.32,63.04,607.98,101,45,40,3.52,Healthy
20.07,76.5,424.04,82,43,126,4.3,Healthy
27.59,90.11,396.01,119,77,127,6.86,Healthy
27.19,81.26,153.91,73,91,50,4.17,Non-Healthy
30.07,92.96,207.3,104,82,46,4.96,Non-Healthy
19.36,69.18,169.54,97,48,102,5.11,Healthy
24.97,63.37,425.53,82,99,136,3.05,Healthy
26.14,81.93,512.45,60,101,107,6.41,Healthy
21.38,63.18,478.89,94,98,76,6.02,Healthy
20.37,87.37,626.27,65,51,137,5.6,Healthy
30.03,68.99,502.05,100,93,136,3.65,Non-Healthy
18.82,78.86,601.23,107,66,46,4.84,Non-Healthy
24.59,88.4,201.45,88,69,109,5.3,Non-Healthy
19.62,87.58,219.56,79,72,103,3.82,Non-Healthy
24.4,77.36,652.68,81,48,119,6.81,Healthy
31.72,94.15,325.73,108,90,139,2.8,Non-Healthy
23.93,77.42,245.86,103,40,129,4.68,Healthy
30.0,69.76,649.0,65,64,59,5.49,Non-Healthy
19.64,70.59,682.66,76,62,41,4.87,Non-Healthy
21.8,86.03,489.91,87,57,64,5.28,Healthy
23.65,75.3,345.24,100,100,125,6.61,Healthy
23.6,74.66,519.26,79,96,138,3.8,Healthy
27.4,60.72,129.02,86,71,54,5.77,Healthy
22.83,70.68,203.93,71,66,42,2.73,Non-Healthy
27.99,90.11,333.85,84,75,111,3.04,Non-Healthy
26.95,88.12,602.69,105,58,63,3.66,Non-Healthy
23.59,86.13,296.5,104,79,94,4.77,Non-Healthy
24.04,60.81,153.57,106,90,78,5.21,Non-Healthy
26.6,60.94,339.67,107,42,71,2.49,Healthy
18.98,70.9,259.93,107,84,105,3.54,Healthy
29.51,76.61,152.51,117,81,99,6.34,Non-Healthy
27.15,91.84,351.38,112,87,57,6.31,Non-Healthy
28.17,73.46,323.82,98,108,92,5.08,Healthy
25.52,70.1,545.63,69,97,117,6.89,Healthy
19.55,79.99,156.66,103,82,70,5.36,Non-Healthy
23.67,92.01,339.85,97,73,139,3.24,Non-Healthy
23.68,85.85,318.61,76,98,97,4.54,Non-Healthy
22.49,89.98,495.16,68,57,126,2.84,Healthy
18.42,66.38,634.99,84,105,123,6.3,Healthy
28.32,64.4,202.93,100,108,68,3.08,Non-Healthy
19.54,79.04,593.43,118,107,110,3.06,Healthy
26.49,84.41,473.64,119,52,105,6.83,Healthy
27.85,93.42,136.96,61,103,45,3.45,Non-Healthy
26.89,73.0,564.8,72,90,51,6.11,Healthy
31.43,72.13,431.86,85,45,93,2.51,Healthy
19.45,78.05,583.96,63,78,64,3.48,Healthy
30.14,83.97,357.14,89,60,130,3.87,Healthy
18.41,79.81,505.99,106,83,87,5.49,Healthy
25.49,85.31,235.31,72,70,105,3.86,Non-Healthy
23.66,73.31,231.27,69,109,82,3.01,Non-Healthy
25.34,90.18,317.35,111,55,103,3.82,Healthy
23.11,66.4,421.28,78,85,72,6.88,Healthy
20.67,71.06,535.59,87,80,51,6.44,Healthy
18.27,87.08,506.75,109,66,58,5.01,Non-Healthy
25.25,71.75,596.38,117,91,64,2.74,Healthy
29.8,83.39,367.31,116,90,44,6.49,Healthy
23.23,70.07,649.27,84,101,47,5.14,Non-Healthy
21.12,66.55,183.32,89,89,72,4.97,Non-Healthy
19.13,70.53,228.58,114,103,55,4.43,Non-Healthy
19.19,91.04,516.56,113,108,41,5.82,Healthy
21.1,76.13,267.19,75,58,128,4.31,Healthy
19.4,67.89,215.46,90,69,77,2.23,Non-Healthy
21.71,71.25,634.17,90,100,121,2.19,Non-Healthy
18.93,60.1,159.67,78,90,71,6.67,Healthy
18.92,86.45,695.05,112,90,71,6.38,Non-Healthy
29.99,67.9,620.3,73,103,112,3.85,Non-Healthy
20.27,80.93,623.59,103,76,105,3.01,Non-Healthy
25.84,60.88,484.65,74,83,92,6.07,Healthy
28.83,89.21,250.42,68,42,40,5.65,Healthy
24.39,66.56,582.89,78,85,69,3.97,Healthy
20.15,60.17,151.2,64,82,96,6.42,Healthy
20.79,70.54,457.63,73,47,41,4.01,Healthy
24.06,92.22,374.71,114,97,65,6.37,Healthy
25.4,69.19,555.24,86,97,106,4.13,Non-Healthy
22.89,77.62,133.79,117,78,84,2.7,Non-Healthy
28.94,74.25,344.34,90,99,58,3.99,Non-Healthy
28.51,70.3,396.71,76,57,124,4.2,Healthy
30.98,92.46,208.37,74,85,137,3.54,Non-Healthy
18.41,87.61,360.54,117,51,91,6.79,Healthy
